id,sz1,szbg,Organ-Size,pbg,Con-Com,SI-Index,BI-Index,Modality,classes,Dice,clDice,Boundary,Perimeter,Haussdorf,size
35_0_24.npy_,33,65503,0.05035400390625,99.9496459960938,0,,,2,1,0.515151500701904,0.67441862821579,0.558823525905609,0.600000023841858,0.712643682956696,0.568181812763214
35_0_25.npy_,14,65522,0.0213623046875,99.9786376953125,0,,,2,1,0.588235318660736,0.61904764175415,0.709677398204803,0.645161271095276,0.649999976158142,0.590909063816071
4_0_16.npy_,79,65457,0.12054443359375,99.8794555664062,11,-4.0650167272162,0.024691358024691,2,1,0.306122452020645,0.452054798603058,0.438709676265717,0.394736856222153,0.355140179395676,0.432432442903519
4_0_17.npy_,118,65418,0.1800537109375,99.8199462890625,5,-0.647590813882647,0.063492063492064,2,1,0.561403512954712,0.617021262645721,0.584795296192169,0.543209850788116,0.405405402183533,0.644067823886871
4_0_18.npy_,224,65312,0.341796875,99.658203125,10,0.21809249510654,0.046808510638298,2,1,0.338129490613937,0.595505595207214,0.452702701091766,0.453947365283966,0.315412193536758,0.496894419193268
4_0_19.npy_,343,65193,0.52337646484375,99.4766235351562,24,0.690443470215082,0.057692307692308,2,1,0.223350256681442,0.562613427639008,0.208651393651962,0.428874731063843,0.182767629623413,0.32304036617279
4_0_2.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_20.npy_,372,65164,0.567626953125,99.432373046875,19,0.774561638284066,0.164044943820225,2,1,0.232558146119118,0.716236710548401,0.448979586362839,0.584558844566345,0.359649121761322,0.518234193325043
4_0_21.npy_,319,65217,0.48675537109375,99.5132446289062,16,0.76993387132802,0.113888888888889,2,1,0.336787551641464,0.718801975250244,0.524663686752319,0.714285731315613,0.39702233672142,0.70342206954956
4_0_22.npy_,470,65066,0.7171630859375,99.2828369140625,21,0.744364863714127,0.119850187265918,2,1,0.123505979776382,0.658761501312256,0.466774702072144,0.660869538784027,0.225508317351341,0.622406661510468
4_0_23.npy_,432,65104,0.6591796875,99.3408203125,18,0.866957354538693,0.132530120481928,2,1,0.498305082321167,0.707373261451721,0.570522964000702,0.582677185535431,0.476666659116745,0.666666686534882
4_0_24.npy_,478,65058,0.7293701171875,99.2706298828125,20,0.796960344995143,0.106542056074766,2,1,0.626038789749146,0.72606635093689,0.686716794967651,0.74698793888092,0.628643870353699,0.713665962219238
4_0_25.npy_,790,64746,1.2054443359375,98.7945556640625,18,0.908839001052858,0.213147410358566,2,1,0.356476694345474,0.758249163627625,0.60207611322403,0.725433528423309,0.539485335350037,0.714932143688202
4_0_26.npy_,1009,64527,1.53961181640625,98.4603881835938,15,0.913562244272656,0.377928483353884,2,1,0.147945210337639,0.704693973064423,0.458083838224411,0.755374789237976,0.346857607364654,0.642401039600372
4_0_27.npy_,1049,64487,1.60064697265625,98.3993530273438,18,0.909664463868433,0.305298013245033,2,1,0.282910883426666,0.813509523868561,0.673255085945129,0.793830335140228,0.49789622426033,0.821903765201569
4_0_28.npy_,1045,64491,1.59454345703125,98.4054565429688,11,0.918740518229714,0.27731673582296,2,1,0.415915906429291,0.816108703613281,0.693877577781677,0.73896861076355,0.696066737174988,0.85284435749054
4_0_29.npy_,989,64547,1.50909423828125,98.4909057617188,7,0.917445128749062,0.478100263852243,2,1,0.550472021102905,0.846315801143646,0.785046756267548,0.863265335559845,0.762650609016418,0.868790984153748
4_0_3.npy_,0,65536,0,100,0,,,2,0,9.99999993922529E-09,1,1,1,1,1
4_0_30.npy_,541,64995,0.82550048828125,99.1744995117188,5,0.877937257570233,0.3287841191067,2,1,0.28075709939003,0.805123507976532,0.789637327194214,0.834064960479736,0.722222208976746,0.803174614906311
4_0_31.npy_,248,65288,0.37841796875,99.62158203125,8,0.732813793521856,0.060606060606061,2,1,0.482142865657806,0.692307710647583,0.642156839370728,0.637413382530212,0.634146332740784,0.675736963748932
4_0_32.npy_,28,65508,0.042724609375,99.957275390625,0,,,2,1,0.666666686534882,0.458333343267441,0.578947365283966,0.592592597007751,0.656716406345367,0.692307710647583
4_0_33.npy_,7,65529,0.01068115234375,99.9893188476562,0,,,2,1,0.363636374473572,0.324324309825897,0.421052634716034,0.307692319154739,0.222222223877907,9.09090913658872E-10
4_0_34.npy_,11,65525,0.01678466796875,99.9832153320312,0,,,2,1,0.777777791023254,0.692307710647583,0.800000011920929,0.818181812763214,0.72000002861023,0.800000011920929
4_0_35.npy_,12,65524,0.018310546875,99.981689453125,0,,,2,1,0.666666686534882,0.714285731315613,0.857142865657806,0.857142865657806,0.833333313465118,0.736842095851898
4_0_36.npy_,2,65534,0.0030517578125,99.9969482421875,0,,,2,1,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09
4_0_37.npy_,4,65532,0.006103515625,99.993896484375,0,,,2,1,2.49999998480632E-09,2.49999998480632E-09,2.49999998480632E-09,0.75,2.49999998480632E-09,2.49999998480632E-09
4_0_38.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_39.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_4.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_40.npy_,2,65534,0.0030517578125,99.9969482421875,0,,,2,1,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09
4_0_41.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
4_0_42.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
